term_str,PC0,PC1,PC2,PC3,PC4
90s,-8.267534381846967e-06,-1.6203686107325783e-05,2.4208694940973432e-05,-1.8435669289966875e-05,0.0001120928157491574
98,-9.26081147313649e-06,-1.6652504432408434e-05,-3.465533999120327e-05,0.0001478683937888457,5.699887702503636e-06
999,-8.23098419447839e-06,-1.4753919463583356e-05,-1.928747653232824e-05,-2.3930846652193872e-05,8.714814004110368e-06
999th,-4.115492097239195e-06,-7.376959731791678e-06,-9.64373826616412e-06,-1.1965423326096936e-05,4.357407002055184e-06
a,-0.0,-0.0,0.0,-0.0,-0.0
aa,-2.8212136044026125e-05,-4.987069624641723e-05,-6.2908241427429e-05,-5.183244459507592e-05,-1.4056624350335013e-05
aaa,-7.195006337380946e-06,-1.2793840901310617e-05,-1.638789910783617e-05,-1.6466445877441307e-05,1.1400043788926206e-06
aah,-7.568240327885368e-06,-1.3095565478678098e-05,-1.61266943940623e-05,-1.5974403975378895e-05,4.060482846243693e-06
abandon,-9.742669997188884e-06,-1.670585525289706e-05,-2.21238857470955e-05,-1.61848247401978e-05,1.185507907137639e-06
abandoned,-1.826126066400167e-05,-3.477440034719267e-05,2.147895515266566e-05,-4.483251955166377e-05,0.0001717292517812523
abandoning,-7.195006337380946e-06,-1.2793840901310617e-05,-1.638789910783617e-05,-1.6466445877441307e-05,1.1400043788926206e-06
abe,-3.1024226731392165e-05,-5.419783630208315e-05,-7.327091976579487e-05,-8.652624148850479e-05,-9.719286170986885e-05
abekun,-2.4594439316799917e-05,-4.1533361158542746e-05,-4.890960230143315e-05,-3.8796712620316285e-05,4.597796068596929e-06
abilities,-4.115492097239195e-06,-7.376959731791678e-06,-9.64373826616412e-06,-1.1965423326096936e-05,4.357407002055184e-06
ability,-4.115492097239195e-06,-7.376959731791678e-06,-9.64373826616412e-06,-1.1965423326096936e-05,4.357407002055184e-06
able,-3.524543873235526e-05,1.6197642678180484e-05,-1.332651138071873e-05,-3.431911329323383e-06,-3.5515542696247707e-06
aboard,-2.046152718970281e-05,-3.593479119372061e-05,-5.2571009165881665e-05,-4.7064163883618626e-05,-4.8016166202669434e-05
abolish,-6.14860982919968e-06,-1.0383340289635185e-05,-1.2227400575357696e-05,-9.6991781550786e-06,1.1494490171491839e-06
about,-0.0,-0.0,0.0,-0.0,-0.0
